method,n_noise_levels,n_budgets,n_points_per_curve,total_fits,min,gmean,max,max_a,max_b,n_maxiter,n_abnormal,n_bound_hit,n_fail,top1,top2,top3,top4,top5,top6,top7,top8
Approach 2,3,3,4,9216,0.002261480591799388,4.844893274749087,715.497732452409,715.497732452409,238.49924415078695,0,0,0,1,715.497732452409,583.3402346872732,238.49924415078695,200.10916826699122,194.44674489599353,148.16297763393402,117.48119608163057,108.64020327703172
"Naive Approach 3 [x₀∈rand, -LSE, -LL]",3,3,4,9216,0.00012580386653896863,16.19222896520442,295.9999967026049,295.9999967026049,98.66666556753496,11,1286,424,0,295.9999967026049,295.9997584526477,295.9994703915099,295.99939569260914,295.99928826531334,295.99898984175786,295.9954273989307,295.5004002125011
"MLE Approach 3 [x₀∈grid, -LSE, -LL]",3,3,4,9216,0.00012425097731435147,1.1065175582740734,73.61300965170207,73.61300965170207,24.53766988390069,0,1997,18,0,73.61300965170207,72.94186637178946,71.52603451927764,70.4865245873809,70.23841806085036,69.48447948671783,69.07874492372731,66.4450233885903
"Approach 3 [x₀∈grid, +LSE, +LL]",3,3,4,9216,9.079520976544112e-05,1.2584099836163114,44.207869952555654,44.207869952555654,14.735956650851886,0,222,710,0,44.207869952555654,41.1115991474738,40.36595316462404,38.06584601949234,37.89132095180621,37.67967560038896,37.23165072567352,37.033890726110094
VPNLS [+∇],3,3,4,9216,0.00012524783337871287,1.0889078832986459,34.19262511458581,34.19262511458581,11.397541704861942,0,2247,8,0,34.19262511458581,32.53561177854405,29.587542247795362,29.579750554056904,28.55173926566119,27.872078140548627,27.095690420068163,26.924602079175884
