surface,alpha,beta,center_scale,grid_name,log_range,training_range,eval_budget,true_D,inferred_D,abs_error,rel_error_pct
Symmetric,0.31,0.31,3.0,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.082482904638630e+11,4.244730718437291e+11,1.622478137986609e+10,3.974243556888148
Symmetric,0.31,0.31,3.0,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.082482904638630e+11,4.224219276128955e+11,1.417363714903247e+10,3.471817881448564
Symmetric,0.31,0.31,3.0,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.082482904638630e+11,4.190471331132362e+11,1.079884264937317e+10,2.645165430356910
Symmetric,0.31,0.31,3.0,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.082482904638630e+11,4.144119915542275e+11,6.163701090364441e+09,1.509792259842919
