surface,alpha,beta,drift_rate,center_scale,grid_name,log_range,training_range,eval_budget,true_D,inferred_D,abs_error,rel_error_pct
Symmetric,0.31,0.31,0.47712125471966244,1.0,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.082482904638630e+11,4.330329296629141e+11,2.478463919905103e+10,6.070971949665736
Symmetric,0.31,0.31,0.47712125471966244,1.0,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.082482904638630e+11,4.293594960061901e+11,2.111120554232709e+10,5.171168143371758
Symmetric,0.31,0.31,0.47712125471966244,1.0,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.082482904638630e+11,4.233449170507438e+11,1.509662658688080e+10,3.697903197519233
Symmetric,0.31,0.31,0.47712125471966244,1.0,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.082482904638630e+11,4.151438757202593e+11,6.895585256396240e+09,1.689066535602950
