method,max_E_err_pct,max_A_err_pct,max_B_err_pct,max_alpha_err_pct,max_beta_err_pct
"5D L-BFGS-B (analytical grad)",2.233536e+00,2.980523e+01,6.144435e+00,5.034138e+00,1.326721e+00
"5D L-BFGS-B (finite diff)",1.129151e+02,2.334097e+03,8.318984e+02,8.056338e+01,4.398395e+01
"5D L-BFGS-B (central diff)",1.026507e+02,2.334118e+03,3.429003e+02,7.890363e+01,2.878081e+01
"2D Nelder-Mead (VPNLS)",5.247847e-08,6.281816e-08,7.876769e-08,1.245531e-08,2.007138e-08
"2D L-BFGS-B (default eps=1e-08)",1.598008e-05,1.032731e-05,1.289098e-05,2.094164e-06,3.901576e-06
"2D L-BFGS-B (central diff)",8.269838e-08,5.296661e-08,6.366765e-08,1.207407e-08,2.040445e-08
"2D L-BFGS-B (eps=1e-6)",1.210585e-03,1.093904e-03,1.289088e-03,2.194870e-04,3.774225e-04
"2D L-BFGS-B (eps=1e-10)",1.583747e-07,8.886923e-07,8.582323e-07,1.794564e-07,1.716354e-07
"2D Grid (256²)",2.583168e+00,2.034131e+00,2.034131e+00,4.427577e-01,5.692600e-01
