source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,875041997.0045102,1730543416.124146,1e+19,3.395737776160633
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,5420902866.660892,2979521172.1967993,1e+20,2.628284835801397
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,6212583091.703336,2638630840.924473,1e+20,2.585322489772079
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,8050484903.749605,2006673381.123053,1e+20,2.577587469373751
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,9450338955.785326,1730543416.124146,1e+20,2.566031188935832
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,1009522836.8259768,1609079314.2122664,1e+19,3.2856379825927915
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,1133517623.6513124,1429232579.4437304,1e+19,3.1838780021322792
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,1236540778.4255252,1265593128.5465355,1e+19,3.131833845205492
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,9036677011.197498,1793808923.9024398,1e+20,2.577587469373751
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,12877366574.886919,1265593128.5465355,1e+20,2.554520985765487
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,1393566500.5834165,1143251954.0462997,1e+19,3.094521210858053
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,1574709382.8902533,1017958924.6402752,1e+19,3.07143034313885
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,1897148783.2111337,816341492.834805,1e+19,3.048504933511402
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,2474655690.289924,632223970.1991626,1e+19,2.998680336233436
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,2645312626.5351734,586598189.8569033,1e+19,2.9852294397432493
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,2781104067.481997,552481732.8553306,1e+19,2.9852294397432493
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,3687867441.2314873,424609581.1910424,1e+19,2.962954091342755
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,13470078830.314104,1143252494.4894495,1e+20,2.554520985765487
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,15780892969.622223,1017959165.2472816,1e+20,2.546878120316004
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,19221023755.515324,816341685.7870721,1e+20,2.566031188935832
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,1654400568.762921,552481994.0269529,6e+18,3.1838780021322792
ml_scalefit,chinchilla,massivetext,chinchilla,,ml_scalefit__massivetext__chinchilla,2196780669.5863123,424609581.1910424,6e+18,3.122463718742479
