method,n_noise_levels,n_budgets,n_points_per_curve,total_fits,min,gmean,max,max_a,max_b,n_maxiter,n_abnormal,n_bound_hit,n_fail,top1,top2,top3,top4,top5,top6,top7,top8
Chinchilla Approach 2,3,3,4,9216,0.002261480591799388,4.844893274749087,715.497732452409,715.497732452409,238.49924415078695,0,0,0,1,715.497732452409,583.3402346872732,238.49924415078695,200.10916826699122,194.44674489599353,148.16297763393402,117.48119608163057,108.64020327703172
Chinchilla Approach 3 (grid init),3,3,4,9216,0.00012425097731435147,1.1065175582740734,73.61300965170207,73.61300965170207,24.53766988390069,0,1997,18,0,73.61300965170207,72.94186637178946,71.52603451927764,70.4865245873809,70.23841806085036,69.48447948671783,69.07874492372731,66.4450233885903
Chinchilla Approach 3 (random init),3,3,4,9216,0.00012580386653896863,16.19222896520442,295.9999967026049,295.9999967026049,98.66666556753496,11,1286,424,0,295.9999967026049,295.9997584526477,295.9994703915099,295.99939569260914,295.99928826531334,295.99898984175786,295.9954273989307,295.5004002125011
VPNLS,3,3,4,9216,0.00012521634253914726,1.0887912546340328,34.19262452685885,34.19262452685885,11.397541508952951,2040,0,12,0,34.19262452685885,32.535610706022425,29.587541714624656,29.57975106971643,28.551738246610547,27.872078211054173,27.095690975190713,26.924601406948444
