source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,1166126976.9212744,1429232579.0,1e+19,3.1838780021322792
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,8305620049.816501,2006673381.0,1e+20,2.577587469373751
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,5593739968.452443,2979521172.0,1e+20,2.628284835801397
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,6996758552.193078,1429233255.0,6e+19,2.6599757580335908
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,3498379276.096539,1429233255.0,3e+19,2.8031746497396575
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,11775514918.421045,424609882.0,3e+19,2.736778556603052
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,37898415927.77161,2638632712.0,6e+20,2.3489443598431987
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,17441597725.699375,57334197.0,6e+18,3.1601132738955617
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,55937280695.44378,2979527510.0,1e+21,2.303640402958185
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,2787363564.434858,1793809772.0,3e+19,2.836974331044393
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,16372627940.008446,1017959165.0,1e+20,2.546878120316004
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,116612449574.0364,1429235620.0,1e+21,2.331416878272676
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,4911786061.114647,1017959646.0,3e+19,2.7449912897159163
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,730096152.6718363,2282804341.0,1e+19,3.793872243318985
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,1637263180.0115774,1017958925.0,1e+19,3.07143034313885
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,13545607083.767334,73824672.0,6e+18,3.094521210858053
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,69967469744.42184,1429235620.0,6e+20,2.3595282724312296
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,15817171991.542133,632224269.0,6e+19,2.640121479394902
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,73576947081.90012,6795606774.0,3e+21,2.205693537488266
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,92911965084.30789,1793812740.0,1e+21,2.303640402958185
