source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,546337292.7391783,142394560.0,4.66772750467119e+17,4.121851150937836
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,440577120.4662222,176576256.0,4.66772750467119e+17,4.262859680947602
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,262884165.8366966,295930560.0,4.66772750467119e+17,4.975278747242794
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,1682763918.8706114,57234240.0,5.778702839758866e+17,3.8689281704600718
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,1552089757.8915389,62052928.0,5.778702839758866e+17,3.8328663234894167
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,1253782943.741714,76816896.0,5.778702839758866e+17,3.8013648544456276
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,1025242574.9954215,93940416.0,5.778702839758866e+17,3.8933466283509204
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,846931666.2561301,113718400.0,5.778702839758866e+17,3.8997971282232413
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,676372145.0874324,142394560.0,5.778702839758866e+17,3.9678148034816627
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,545439778.6981115,176576256.0,5.778702839758866e+17,4.0733483608931484
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,2083281988.2673175,57234240.0,7.15410367825013e+17,3.8111402376227397
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,1921505803.9512467,62052928.0,7.15410367825013e+17,3.7764237721052365
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,1552198377.0884056,76816896.0,7.15410367825013e+17,3.7307329091699235
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,1269262649.4667516,93940416.0,7.15410367825013e+17,3.79684353269005
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,1048511597.9838692,113718400.0,7.15410367825013e+17,3.8135247480457575
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,837356857.6227127,142394560.0,7.15410367825013e+17,3.8594965279692217
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,675261011.9005402,176576256.0,7.15410367825013e+17,3.9210844432001384
