"Name","parameter_count","throughput/total_tokens","eval/paloma/macro_loss","throughput/total_gflops","trainer.train_batch_size","optimizer.learning_rate","trainer.num_train_steps","model.num_layers","model.hidden_dim"
"isoflop-6e+19-d2304-L23-B64-dclm-default","2544614912","11170480128","3.0450022220611572","180000200267.03845","64","0.0011458333333333331","42612","23","2304"
"isoflop-3e+19-d4096-L40-B8-dclm-default","11788433408","1189281792","3.4797654151916504","90001014742.50995","8","0.000227876208780821","36294","40","4096"
"isoflop-6e+19-d3840-L37-B16-dclm-default","9714698752","2886664192","3.241903305053711","180000326150.91928","16","0.00034375000000000003","44047","37","3840"
"isoflop-3e+19-d3840-L37-B8-dclm-default","9714698752","1443332096","3.438182830810547","90000163075.45964","8","0.00024306795603287577","44047","37","3840"
"isoflop-3e+18-d512-L6-B64-dclm-default","156508160","12914786304","3.710874557495117","9000018258.40064","64","0.00515625","49266","6","512"
"isoflop-1e+18-d896-L10-B8-dclm-default","358306688","1576304640","3.7699735164642334","3000007253.0224743","8","0.0010417198115694674","48105","10","896"
"isoflop-3e+19-d2560-L26-B16-dclm-default","3383110656","4163108864","3.240170955657959","90000269557.09415","16","0.000515625","63524","26","2560"
"isoflop-3e+18-d768-L8-B32-dclm-default","272513792","6677856256","3.578904628753662","9000066344.854486","32","0.0024306795603287576","50948","8","768"
"isoflop-6e+19-d2048-L21-B64-dclm-default","1934716160","14805106688","3.0530948638916016","180001110585.35684","64","0.0012890625","56477","21","2048"
"isoflop-3e+19-d3328-L33-B8-dclm-default","6701811712","2089222144","3.366856575012207","89999855154.49025","8","0.0002804630261917797","63758","33","3328"
"isoflop-6e+18-d896-L10-B64-dclm-default","358306688","9457893376","3.41349458694458","18000168245.595734","64","0.0029464285714285716","36079","10","896"
"isoflop-6e+18-d1152-L12-B32-dclm-default","550337664","5808717824","3.400510787963867","17999984159.00246","32","0.0016204530402191715","44317","12","1152"
"isoflop-1e+19-d1536-L16-B32-dclm-default","998036992","4982571008","3.3084075450897217","29999678334.368217","32","0.0012153397801643788","38014","16","1536"
"isoflop-6e+19-d512-L6-B128-dclm-default","156508160","258295201792","3.769139289855957","179999999803.7349","128","0.007292038680986272","492659","6","512"
"isoflop-3e+18-d640-L7-B64-dclm-default","210054272","9097969664","3.61305832862854","9000125003.370333","64","0.004125","34706","7","640"
"isoflop-6e+18-d2048-L21-B8-dclm-default","1934716160","1480491008","3.530250072479248","17999872021.70133","8","0.000455752417561642","45181","21","2048"
"isoflop-1e+18-d512-L6-B32-dclm-default","156508160","4304928768","3.830305814743042","3000006086.133547","32","0.003646019340493136","32844","6","512"
"isoflop-6e+18-d1920-L19-B8-dclm-default","1613248384","1799094272","3.5080246925354004","18000071180.408585","8","0.0004861359120657515","54904","19","1920"
"isoflop-1e+18-d1024-L11-B8-dclm-default","447244032","1223393280","3.7627997398376465","2999996780.0131583","8","0.000911504835123284","37335","11","1024"
"isoflop-3e+18-d896-L10-B32-dclm-default","358306688","4728946688","3.5296027660369873","9000084122.797867","32","0.002083439623138935","36079","10","896"
