"Name","parameter_count","throughput/total_tokens","eval/paloma/macro_loss","throughput/total_gflops","trainer.train_batch_size","trainer.num_train_steps","learning_rate","model.hidden_dim","model.num_layers"
"isoflop-6e+19-d3328-L33-B16-nemo-wider-depth-adapt","6701811712","4178444288","3.1475815773010254","179999710308.9805","16","63758","","3328","33"
"isoflop-1e+20-d3840-L37-B32-nemo-wider-depth-adapt","9714698752","4811128832","3.066969394683838","300001905768.64","32","36706","","3840","37"
"isoflop-1e+20-d3328-L33-B32-nemo-wider-depth-adapt","6701811712","6964117504","3.022613286972046","300001399295.3591","32","53132","","3328","33"
"isoflop-1e+18-d512-L6-B32-nemo-wider-depth-adapt","156508160","4304928768","3.7978157997131343","3000006086.133547","32","32844","","512","6"
"isoflop-3e+18-d1536-L16-B8-nemo-wider-depth-adapt","998036992","1494777856","3.5736918449401855","8999942959.034008","8","45617","","1536","16"
"isoflop-3e+18-d1024-L11-B16-nemo-wider-depth-adapt","447244032","3670212608","3.524932384490967","9000070693.508875","16","56003","","1024","11"
"isoflop-3e+18-d512-L6-B64-nemo-wider-depth-adapt","156508160","12914786304","3.672969341278076","9000018258.40064","64","49266","","512","6"
"isoflop-1e+18-d1024-L11-B8-nemo-wider-depth-adapt","447244032","1223393280","3.7412514686584473","2999996780.0131583","8","37335","","1024","11"
"isoflop-6e+18-d1024-L11-B32-nemo-wider-depth-adapt","447244032","7340425216","3.386306047439575","18000141387.01775","32","56003","","1024","11"
"isoflop-6e+18-d2048-L21-B8-nemo-wider-depth-adapt","1934716160","1480491008","3.5063164234161377","17999872021.70133","8","45181","","2048","21"
"isoflop-6e+18-d1536-L16-B16-nemo-wider-depth-adapt","998036992","2989555712","3.402127981185913","17999885918.068016","16","45617","","1536","16"
"isoflop-6e+18-d512-L6-B128-nemo-wider-depth-adapt","156508160","25829572608","3.60347580909729","18000036516.80128","128","49266","","512","6"
"isoflop-3e+19-d3072-L30-B16-nemo-wider-depth-adapt","5318048256","2639331328","3.262725353240967","89999865190.2182","16","40273","","3072","30"
"isoflop-6e+19-d2560-L26-B32-nemo-wider-depth-adapt","3383110656","8326217728","3.0507969856262207","180000539114.1883","32","63524","","2560","26"
"isoflop-1e+19-d1536-L16-B32-nemo-wider-depth-adapt","998036992","4982571008","3.2753751277923584","29999678334.368217","32","38014","","1536","16"
"isoflop-6e+19-d1536-L16-B128-nemo-wider-depth-adapt","998036992","29895950336","3.0102648735046387","180001226704.09265","128","57022","","1536","16"
"isoflop-3e+19-d1536-L16-B64-nemo-wider-depth-adapt","998036992","14947975168","3.1016879081726074","90000613352.04633","64","57022","","1536","16"
"isoflop-1e+19-d2560-L26-B8-nemo-wider-depth-adapt","3383110656","1387692032","3.4717800617218018","29999853720.43149","8","42349","","2560","26"
"isoflop-6e+19-d4096-L40-B16-nemo-wider-depth-adapt","11788433408","2378563584","3.2374825477600098","180002029485.0199","16","36294","","4096","40"
"isoflop-6e+19-d3584-L35-B16-nemo-wider-depth-adapt","8112833792","3453616128","3.171010971069336","179999567354.21527","16","52698","","3584","35"
"isoflop-3e+19-d2560-L26-B16-nemo-wider-depth-adapt","3383110656","4163108864","3.2019364833831787","90000269557.09415","16","63524","","2560","26"
"isoflop-6e+19-d3072-L30-B32-nemo-wider-depth-adapt","5318048256","5278662656","3.08634614944458","179999730380.4364","32","40273","","3072","30"
