"Name","parameter_count","throughput/total_tokens","throughput/total_gflops","eval/paloma/macro_loss","trainer.train_batch_size","trainer.num_train_steps","optimizer.learning_rate","model.hidden_dim","model.num_layers"
"exp2166-scaling-ladder-comma-validation-optimal-3e+19-5b04fb","669160448","7787380736","30000190274.06881","3.506753444671631","32","59413","0.0014584077361972543","1280","13"
"exp2166-scaling-ladder-comma-validation-optimal-1e+20-ee92d7","998036992","16608657408","99999453897.54128","3.328258752822876","64","63357","0.00171875","1536","16"
"exp2166-scaling-ladder-comma-validation-optimal-6e+19-40cc31","669160448","15574761472","60000380548.13762","3.3999950885772705","64","59413","0.0020625","1280","13"
"exp2166-scaling-ladder-comma-validation-optimal-1e+19-4a5810","447244032","4077977600","9999989266.710527","3.6981310844421382","16","62225","0.0012890625","1024","11"
"exp2166-scaling-ladder-comma-validation-optimal-6e+18-93e97d","358306688","3152609280","6000014506.044949","3.787144184112549","16","48105","0.0014732142857142858","896","10"
"exp2166-scaling-ladder-comma-validation-optimal-3e+18-b4f71e","272513792","2225930240","2999992672.9506817","3.907057046890259","16","33965","0.00171875","768","8"
"exp2166-scaling-ladder-comma-validation-optimal-1e+18-3e66cb","156508160","1434976256","1000002028.7111824","4.183043003082275","8","43792","0.001823009670246568","512","6"
"isoflop-1e+20-d768-L8-B512-comma-mix","272513792","222593810432","300000327207.0975","3.4256324768066406","512","106141","0.00972271824131503","768","8"
"isoflop-1e+20-d512-L6-B128-comma-mix","156508160","430491828224","299999877884.7988","3.705698013305664","128","821098","0.007292038680986272","512","6"
"isoflop-1e+20-d1024-L11-B512-comma-mix","447244032","122339459072","299999999415.1934","3.260427713394165","512","58336","0.007292038680986272","1024","11"
"isoflop-1e+20-d1280-L13-B512-comma-mix","669160448","77873545216","300000892854.29034","3.1699068546295166","512","37133","0.005833630944789018","1280","13"
"isoflop-1e+20-d1792-L18-B256-comma-mix","1384584448","35199647744","299999886698.0717","3.109652519226074","256","33569","0.0029464285714285716","1792","18"
"isoflop-1e+20-d2560-L26-B64-comma-mix","3383110656","13877116928","300002787579.113","3.196133613586426","64","52937","0.00103125","2560","26"
"isoflop-1e+20-d3584-L35-B32-comma-mix","8112833792","5756026880","299999278923.69214","3.2665581703186035","32","43915","0.0005208599057847337","3584","35"
"isoflop-1e+20-d3328-L33-B32-comma-mix","6701811712","6964117504","300001399295.3591","3.2473855018615723","32","53132","0.0005609260523835594","3328","33"
