config,n,bias,bias_size,bias_tokens,pow_size,pow_tokens,r2,mre,mae
mse+lbfgs,217,1.905061960220337,4.000102996826172,1.0509332418441772,0.35101214051246643,0.45879286527633667,0.9960395693778992,0.004535612650215626,0.012207499705255032
mse+basinhopping,217,1.9051308631896973,4.001230716705322,1.0509706735610962,0.35110554099082947,0.4587344527244568,0.9960395693778992,0.004535682965070009,0.01220801379531622
mse+basinhopping+bs10,217,1.892626166343689,3.992823362350464,1.051698088645935,0.3500394821166992,0.4462425708770752,0.9959823489189148,0.004452927969396114,0.012036111205816269
huber+lbfgs,217,1.826718807220459,3.7066233158111572,1.038618564605713,0.32404521107673645,0.40795305371284485,0.9947471618652344,0.0042226919904351234,0.011534568853676319
huber+basinhopping,217,1.824955701828003,3.698378324508667,1.0395994186401367,0.3238927721977234,0.40578988194465637,0.9946942925453186,0.004218889866024256,0.011531260795891285
huber+basinhopping+bs10,217,1.82620370388031,3.7451283931732178,1.0430339574813843,0.3285335600376129,0.4011390209197998,0.9945635795593262,0.004231706261634827,0.011587764136493206
