config,drift_rate,center_scale,surface,alpha,beta,grid_name,log_range,training_range,eval_budget,true_D,inferred_D,abs_error,rel_error_pct
"Offset by 3×",0.0,3.0,Llama 3,0.34806298410944303,0.35908285509639576,"XS (±2×)",0.3010299956639812,1e+18-1e+22,4e+25,9.220428510547191e+12,9.639952379365824e+12,4.195238688186328e+11,4.549938957161720
"Offset by 3×",0.0,3.0,Llama 3,0.34806298410944303,0.35908285509639576,"S (±4×)",0.6020599913279624,1e+18-1e+22,4e+25,9.220428510547191e+12,9.595541749016754e+12,3.751132384695625e+11,4.068284223889083
"Offset by 3×",0.0,3.0,Llama 3,0.34806298410944303,0.35908285509639576,"L (±8×)",0.9030899869919435,1e+18-1e+22,4e+25,9.220428510547191e+12,9.522799989598625e+12,3.023714790514336e+11,3.279364713966956
"Offset by 3×",0.0,3.0,Llama 3,0.34806298410944303,0.35908285509639576,"XL (±16×)",1.2041199826559248,1e+18-1e+22,4e+25,9.220428510547191e+12,9.423551473328330e+12,2.031229627811387e+11,2.202966625127971
"Offset by 3×",0.0,3.0,Chinchilla,0.34,0.28,"XS (±2×)",0.3010299956639812,1e+18-1e+22,4e+25,2.966650023343612e+13,3.177582368649383e+13,2.109323453057707e+12,7.110118943792227
"Offset by 3×",0.0,3.0,Chinchilla,0.34,0.28,"S (±4×)",0.6020599913279624,1e+18-1e+22,4e+25,2.966650023343612e+13,3.135480363313372e+13,1.688303399697602e+12,5.690942262865139
"Offset by 3×",0.0,3.0,Chinchilla,0.34,0.28,"L (±8×)",0.9030899869919435,1e+18-1e+22,4e+25,2.966650023343612e+13,3.066807325855554e+13,1.001573025119418e+12,3.376107789049476
"Offset by 3×",0.0,3.0,Chinchilla,0.34,0.28,"XL (±16×)",1.2041199826559248,1e+18-1e+22,4e+25,2.966650023343612e+13,2.973707115591063e+13,7.057092247451172e+10,0.237880848496492
"Offset by 3×",0.0,3.0,SODA,0.684,0.439,"XS (±2×)",0.3010299956639812,1e+18-1e+22,4e+25,2.875847622713804e+13,3.555735631309936e+13,6.798880085961320e+12,23.641308504188178
"Offset by 3×",0.0,3.0,SODA,0.684,0.439,"S (±4×)",0.6020599913279624,1e+18-1e+22,4e+25,2.875847622713804e+13,3.418236610942542e+13,5.423889882287379e+12,18.860143491083527
"Offset by 3×",0.0,3.0,SODA,0.684,0.439,"L (±8×)",0.9030899869919435,1e+18-1e+22,4e+25,2.875847622713804e+13,3.206072435948813e+13,3.302248132350090e+12,11.482695071423539
"Offset by 3×",0.0,3.0,SODA,0.684,0.439,"XL (±16×)",1.2041199826559248,1e+18-1e+22,4e+25,2.875847622713804e+13,2.940510200597302e+13,6.466257788349766e+11,2.248470237879939
