config,drift_rate,center_scale,surface,alpha,beta,grid_name,log_range,training_range,eval_budget,true_D,inferred_D,abs_error,rel_error_pct
"Offset by 3×",0.0,3.0,Sparse-NMM,0.71,0.372,"XS (±2×)",0.3010299956639812,1e+18-1e+22,4e+25,1.764824528469453e+14,2.239611546636982e+14,4.747870181675294e+13,26.902788946348640
"Offset by 3×",0.0,3.0,Sparse-NMM,0.71,0.372,"S (±4×)",0.6020599913279624,1e+18-1e+22,4e+25,1.764824528469453e+14,2.137907106974978e+14,3.730825785055247e+13,21.139924818989297
"Offset by 3×",0.0,3.0,Sparse-NMM,0.71,0.372,"L (±8×)",0.9030899869919435,1e+18-1e+22,4e+25,1.764824528469453e+14,1.983470457481864e+14,2.186459290124112e+13,12.389103023292197
"Offset by 3×",0.0,3.0,Sparse-NMM,0.71,0.372,"XL (±16×)",1.2041199826559248,1e+18-1e+22,4e+25,1.764824528469453e+14,1.794482688465772e+14,2.965815999631875e+12,1.680516080657596
"Drift to 3×",0.47712125471966244,1.0,Llama 3,0.34806298410944303,0.35908285509639576,"XS (±2×)",0.3010299956639812,1e+18-1e+22,4e+25,9.220428510547191e+12,9.912475950292314e+12,6.920474397451230e+11,7.505588693123038
"Drift to 3×",0.47712125471966244,1.0,Llama 3,0.34806298410944303,0.35908285509639576,"S (±4×)",0.6020599913279624,1e+18-1e+22,4e+25,9.220428510547191e+12,9.809786185982051e+12,5.893576754348594e+11,6.391868607415553
"Drift to 3×",0.47712125471966244,1.0,Llama 3,0.34806298410944303,0.35908285509639576,"L (±8×)",0.9030899869919435,1e+18-1e+22,4e+25,9.220428510547191e+12,9.642580948310703e+12,4.221524377635117e+11,4.578447056778480
"Drift to 3×",0.47712125471966244,1.0,Llama 3,0.34806298410944303,0.35908285509639576,"XL (±16×)",1.2041199826559248,1e+18-1e+22,4e+25,9.220428510547191e+12,9.416440075506023e+12,1.960115649588320e+11,2.125840081451915
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"XS (±2×)",0.3010299956639812,1e+18-1e+22,4e+25,2.966650023343612e+13,3.345350576035289e+13,3.787005526916770e+12,12.765258783874216
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"S (±4×)",0.6020599913279624,1e+18-1e+22,4e+25,2.966650023343612e+13,3.290244108258451e+13,3.235940849148387e+12,10.907726977182385
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"L (±8×)",0.9030899869919435,1e+18-1e+22,4e+25,2.966650023343612e+13,3.200906905512095e+13,2.342568821684832e+12,7.896343698285654
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"XL (±16×)",1.2041199826559248,1e+18-1e+22,4e+25,2.966650023343612e+13,3.080881754511096e+13,1.142317311674840e+12,3.850529394051585
"Drift to 3×",0.47712125471966244,1.0,SODA,0.684,0.439,"XS (±2×)",0.3010299956639812,1e+18-1e+22,4e+25,2.875847622713804e+13,4.207828129434834e+13,1.331980506721030e+13,46.316101597347554
"Drift to 3×",0.47712125471966244,1.0,SODA,0.684,0.439,"S (±4×)",0.6020599913279624,1e+18-1e+22,4e+25,2.875847622713804e+13,4.044484719193584e+13,1.168637096479780e+13,40.636266235030597
"Drift to 3×",0.47712125471966244,1.0,SODA,0.684,0.439,"L (±8×)",0.9030899869919435,1e+18-1e+22,4e+25,2.875847622713804e+13,3.796326435107902e+13,9.204788123940984e+12,32.007217806814303
"Drift to 3×",0.47712125471966244,1.0,SODA,0.684,0.439,"XL (±16×)",1.2041199826559248,1e+18-1e+22,4e+25,2.875847622713804e+13,3.492182895656007e+13,6.163352729422031e+12,21.431430096445659
"Drift to 3×",0.47712125471966244,1.0,Sparse-NMM,0.71,0.372,"XS (±2×)",0.3010299956639812,1e+18-1e+22,4e+25,1.764824528469453e+14,2.723316940092804e+14,9.584924116233516e+13,54.310918516902404
"Drift to 3×",0.47712125471966244,1.0,Sparse-NMM,0.71,0.372,"S (±4×)",0.6020599913279624,1e+18-1e+22,4e+25,1.764824528469453e+14,2.618202861562088e+14,8.533783330926353e+13,48.354854509684834
"Drift to 3×",0.47712125471966244,1.0,Sparse-NMM,0.71,0.372,"L (±8×)",0.9030899869919435,1e+18-1e+22,4e+25,1.764824528469453e+14,2.460254720915194e+14,6.954301924457409e+13,39.405061592658960
"Drift to 3×",0.47712125471966244,1.0,Sparse-NMM,0.71,0.372,"XL (±16×)",1.2041199826559248,1e+18-1e+22,4e+25,1.764824528469453e+14,2.269405181172354e+14,5.045806527029009e+13,28.590981401448413
