method,max_E_err_pct,max_A_err_pct,max_B_err_pct,max_alpha_err_pct,max_beta_err_pct
"5D L-BFGS-B (analytical grad)",9.056495e-07,2.582281e-06,2.761501e-06,5.453366e-07,5.420427e-07
"5D L-BFGS-B (finite diff)",9.993238e+01,1.306508e+01,4.515958e+01,4.782573e+00,2.007319e+01
"5D L-BFGS-B (central diff)",4.305973e-03,4.851777e-03,7.210179e-03,1.143408e-03,2.095730e-03
"2D Nelder-Mead (VPNLS)",5.247847e-08,6.281816e-08,7.876769e-08,1.245531e-08,2.007138e-08
"2D L-BFGS-B (default eps=1e-08)",1.525314e-05,1.170516e-05,1.289098e-05,2.678489e-06,3.847588e-06
"2D L-BFGS-B (central diff)",8.269616e-08,5.296130e-08,6.366498e-08,1.207292e-08,2.040363e-08
"2D L-BFGS-B (eps=1e-6)",1.586154e-03,1.093904e-03,1.289088e-03,2.194870e-04,3.877544e-04
"2D L-BFGS-B (eps=1e-10)",1.598177e-07,8.886923e-07,8.582323e-07,1.794564e-07,1.716354e-07
"2D Grid (256²)",2.583168e+00,2.034131e+00,2.034131e+00,4.427577e-01,5.692600e-01
