method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",symmetric,1.105263,alpha,5.121353162340278e-08,5.121353162340278e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.105263,beta,5.142214611109444e-08,5.142214611109444e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,E,3.3154018649451214e-09,3.3154018649451214e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,A,1.4220773891793215e-08,1.4220773891793215e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,B,1.3940194776296268e-08,1.3940194776296268e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,alpha,3.032789073639349e-09,3.032789073639349e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,beta,2.8455374257602316e-09,2.8455374257602316e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,E,1.2748513618861414e-10,1.2748513618861414e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,A,9.376321941090282e-11,9.376321941090282e-11,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,B,9.607958872948075e-11,9.607958872948075e-11,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,alpha,5.611998321250388e-11,5.611998321250388e-11,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,beta,5.574393992996955e-11,5.574393992996955e-11,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,E,-3.0271643180311965e-11,3.0271643180311965e-11,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,A,-5.287574822432362e-10,5.287574822432362e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,B,-5.621529908239609e-10,5.621529908239609e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,alpha,-1.1064625917998132e-10,1.1064625917998132e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,beta,-9.648196220452167e-11,9.648196220452167e-11,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,E,-4.344924157477347e-08,4.344924157477347e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,A,-5.04941269241499e-07,5.04941269241499e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,B,-5.05143503914951e-07,5.05143503914951e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,alpha,-9.796513063130598e-08,9.796513063130598e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,beta,-8.72406806294176e-08,8.72406806294176e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,E,-1.209420466470363e-10,1.209420466470363e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,A,-8.42646841192618e-10,8.42646841192618e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,B,-8.412257557210978e-10,8.412257557210978e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,alpha,-1.6024815882855686e-10,1.6024815882855686e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,beta,-1.6302371639011975e-10,1.6302371639011975e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,E,-2.751864482506009e-08,2.751864482506009e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,A,2.1582707177003613e-08,2.1582707177003613e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,B,2.164728130082949e-08,2.164728130082949e-08,False
