method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",symmetric,1.105263,alpha,7.931274723004649e-06,7.931274723004649e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.105263,beta,-2.524015620164824e-06,2.524015620164824e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,E,-4.3806896309004617e-07,4.3806896309004617e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,A,9.291429336144574e-06,9.291429336144574e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,B,-1.3725173161560633e-05,1.3725173161560633e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,alpha,1.8062909232857158e-06,1.8062909232857158e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,beta,-2.7154328248323347e-06,2.7154328248323347e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,E,-3.562027333184714e-06,3.562027333184714e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,A,-3.191417306425137e-05,3.191417306425137e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,B,-9.340327522977532e-06,9.340327522977532e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,alpha,-6.2803781172042994e-06,6.2803781172042994e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,beta,-2.115110273306282e-06,2.115110273306282e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,E,9.962220397731406e-08,9.962220397731406e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,A,2.885551907638728e-06,2.885551907638728e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,B,-1.8964039298907662e-06,1.8964039298907662e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,alpha,5.822656693716739e-07,5.822656693716739e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,beta,-3.729850657720593e-07,3.729850657720593e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,E,1.0912585759417962e-08,1.0912585759417962e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,A,5.845515715918737e-08,5.845515715918737e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,B,4.334897596436349e-08,4.334897596436349e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,alpha,1.0526884023974045e-08,1.0526884023974045e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,beta,9.627710814965536e-09,9.627710814965536e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,E,-8.675848336920501e-07,8.675848336920501e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,A,-1.6505449309534015e-06,1.6505449309534015e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,B,-2.5976616484513215e-06,2.5976616484513215e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,alpha,-4.115246673896239e-07,4.115246673896239e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,beta,-5.91110475979226e-07,5.91110475979226e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,E,2.313831585240846e-06,2.313831585240846e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,A,1.7433081950457563e-05,1.7433081950457563e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,B,4.1467549607432375e-06,4.1467549607432375e-06,False
