source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,11920539268.5,419444111.32577616,3e+19,0.840514329333
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,14900707724.5,335554531.5326811,3e+19,0.841696757916
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,2952413876.22,3387059002.988796,6e+19,0.848431545871
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,3860859377.75,2590096924.4385476,6e+19,0.831245646973
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,4324867853.82,2312209375.6384625,6e+19,0.827699014652
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,5358443150.61,1866213696.577449,6e+19,0.820314005479
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,5960227862.0,1677788203.9973593,6e+19,0.81932309914
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,6089147815.99,1642265929.8465652,6e+19,0.819304787895
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,6772994963.02,1476451710.7423205,6e+19,0.817185605659
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,7227270302.13,1383648263.0313175,6e+19,0.817698589025
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,8169967874.22,1223995021.0275111,6e+19,0.814805371541
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,9395476212.14,1064342006.1112909,6e+19,0.814124392333
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,9780935646.99,1022397075.3838274,6e+19,0.815502577156
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,11114713968.1,899708263.181643,6e+19,0.814976886695
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,12869687948.0,777019616.9794497,6e+19,0.8131395455
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,13820935684.5,723540014.0972272,6e+19,0.813111785102
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,15726997466.4,635849279.0098387,6e+19,0.813675727533
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,18427967854.4,542653431.9470459,6e+19,0.814621344298
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,3344665017.99,4983060060.43099,1e+20,0.833321363103
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,3915711579.34,4256357070.4755177,1e+20,0.828265303291
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,4920715217.14,3387041503.3596687,1e+20,0.818213395858
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,8869422358.96,1879115233.4548366,1e+20,0.799648726095
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,10347675384.0,1610667715.0345623,1e+20,0.797614194185
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,11288383261.1,1476444082.484366,1e+20,0.796962669178
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,12045512738.1,1383641114.2507815,1e+20,0.797840057032
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,13616683475.9,1223988697.1129787,1e+20,0.796371227719
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,15659207925.3,1064336507.0680845,1e+20,0.796967882293
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,16301643636.0,1022391793.049663,1e+20,0.79745121543
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,18524618989.7,899703614.7374265,1e+20,0.798912421098
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,19658791213.5,847797124.7398673,1e+20,0.798589721529
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,21449590735.0,777015602.4222467,1e+20,0.799568506814
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,23035011820.5,723536275.8457181,1e+20,0.799180837296
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,26325763262.7,633093388.4177653,1e+20,0.801069333584
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,33112950614.8,503327742.0834076,1e+20,0.809223035226
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,49669629536.6,335550452.5030838,1e+20,0.816945601243
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,69256362116.9,240651777.78951883,1e+20,0.833038219294
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,10034106510.7,4983004709.655199,3e+20,0.778117657171
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,10686187763.5,4678937064.04647,3e+20,0.776735758029
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,14762309628.1,3387003880.803664,3e+20,0.768618092835
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,18921579304.8,2642485555.490396,3e+20,0.764071952433
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,23921983105.8,2090127719.7155643,3e+20,0.764508821872
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,29801624312.1,1677760899.08291,3e+20,0.764357182101
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,30446234572.6,1642239203.03752,3e+20,0.764245553446
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,33865525954.5,1476427682.451395,3e+20,0.765505659073
