surface,method,eps,label,failures,max_E_err%,max_A_err%,max_B_err%,max_alpha_err%,max_beta_err%
symmetric,nelder-mead,,Nelder-Mead,0/20,9.51e-09,5.00e-08,6.13e-08,9.67e-09,1.22e-08
symmetric,l-bfgs-b,,L-BFGS-B (default eps=1e-08),0/20,2.89e-06,1.03e-05,1.04e-05,2.09e-06,2.09e-06
symmetric,l-bfgs-b-3pt,,L-BFGS-B (central diff),0/20,1.67e-08,5.30e-08,5.30e-08,1.21e-08,1.21e-08
symmetric,l-bfgs-b,1e-06,L-BFGS-B (eps=1e-6),11/20,2.89e-04,1.07e-03,1.07e-03,2.09e-04,2.09e-04
symmetric,l-bfgs-b,1e-10,L-BFGS-B (eps=1e-10),0/20,2.87e-08,8.89e-07,8.58e-07,1.79e-07,1.72e-07
symmetric,grid,,Grid (256²),0/20,5.22e-01,2.03e+00,2.03e+00,3.80e-01,3.80e-01
chinchilla,nelder-mead,,Nelder-Mead,0/20,1.66e-08,6.28e-08,7.88e-08,1.25e-08,1.70e-08
chinchilla,l-bfgs-b,,L-BFGS-B (default eps=1e-08),0/20,3.10e-06,1.02e-05,1.12e-05,1.98e-06,2.45e-06
chinchilla,l-bfgs-b-3pt,,L-BFGS-B (central diff),0/20,1.87e-08,4.99e-08,6.17e-08,1.09e-08,1.41e-08
chinchilla,l-bfgs-b,1e-06,L-BFGS-B (eps=1e-6),4/20,3.14e-04,1.09e-03,1.12e-03,2.19e-04,2.29e-04
chinchilla,l-bfgs-b,1e-10,L-BFGS-B (eps=1e-10),0/20,3.09e-08,1.08e-07,1.57e-07,2.14e-08,3.09e-08
chinchilla,grid,,Grid (256²),0/20,2.86e-01,9.25e-01,1.08e+00,1.73e-01,2.10e-01
high_imbalance,nelder-mead,,Nelder-Mead,0/20,5.25e-08,4.92e-08,6.58e-08,1.20e-08,2.01e-08
high_imbalance,l-bfgs-b,,L-BFGS-B (default eps=1e-08),0/20,1.60e-05,9.12e-06,1.29e-05,2.06e-06,3.90e-06
high_imbalance,l-bfgs-b-3pt,,L-BFGS-B (central diff),1/20,8.27e-08,2.51e-08,6.37e-08,7.46e-09,2.04e-08
high_imbalance,l-bfgs-b,1e-06,L-BFGS-B (eps=1e-6),5/20,1.21e-03,8.81e-04,1.29e-03,1.98e-04,3.77e-04
high_imbalance,l-bfgs-b,1e-10,L-BFGS-B (eps=1e-10),3/20,1.58e-07,1.13e-07,1.29e-07,2.63e-08,3.85e-08
high_imbalance,grid,,Grid (256²),0/20,2.58e+00,1.89e+00,2.00e+00,4.43e-01,5.69e-01
